"Date Time","Open","High","Low","Close","Change","MACD","MACD-Signal","MACD-Histogram"
2016-09-26,1340.8,1346.1,1336.5,1344.1,2.3999999999998636,-2.596153846153584,-4.650071225071063,2.053917378917479
2016-09-27,1342,1343.5,1327.7,1330.4,-13.699999999999818,-2.330128205128176,-4.0299857549856215,1.6998575498574455
2016-09-28,1330.1,1331.1,1321.1,1323.7,-6.7000000000000455,-1.7307692307690559,-3.3816951566950086,1.6509259259259528
2016-09-29,1325,1329.4,1318.6,1326,2.2999999999999545,-0.7660256410256352,-2.7460826210825013,1.9800569800568661
2016-09-30,1323.6,1331.5,1316,1317.1,-8.900000000000091,-1.031410256410254,-2.3368233618232606,1.3054131054130065
2016-10-03,1321,1322.6,1311.8,1312.7,-4.399999999999864,-1.0153846153843915,-2.0428062678061503,1.0274216524217588
2016-10-04,1315,1315.4,1269,1269.7,-43,-2.2288461538457796,-1.9959401709400026,-0.2329059829057769
2016-10-05,1270.5,1279.4,1264.1,1268.6,-1.1000000000001364,-4.078846153845916,-2.1206552706551065,-1.9581908831908095
2016-10-06,1269.7,1271.6,1251.8,1253,-15.599999999999909,-7.069871794871688,-2.538603988603831,-4.531267806267857
2016-10-07,1256.8,1267.6,1243.2,1251.9,-1.099999999999909,-11.406410256410481,-3.517521367521264,-7.888888888889218
2016-10-10,1258.5,1266.8,1258.5,1260.4,8.5,-16.250641025641244,-5.064245014244938,-11.186396011396305
2016-10-11,1261.7,1264,1254.3,1255.9,-4.5,-20.677564102564475,-7.169444444444429,-13.508119658120044
2016-10-12,1254.5,1260.5,1251.2,1253.8,-2.1000000000001364,-24.34871794871833,-9.789743589743617,-14.558974358974714
2016-10-13,1257.1,1263.9,1254.7,1257.6,3.7999999999999545,-26.892307692308123,-12.663176638176715,-14.229131054131408
2016-10-14,1259.5,1260.7,1246.9,1255.5,-2.099999999999909,-29.264102564102586,-15.801923076923181,-13.462179487179405
2016-10-17,1252.9,1258.2,1251.1,1256.6,1.099999999999909,-32.05128205128199,-19.115527065527203,-12.935754985754784
2016-10-18,1256,1265.6,1255.9,1262.9,6.300000000000182,-34.156410256410254,-22.457478632478796,-11.698931623931458
2016-10-19,1263.9,1274.4,1261.1,1269.9,7,-35.653846153846416,-25.633475783475987,-10.02037037037043
2016-10-20,1270.6,1275.9,1265.5,1267.5,-2.400000000000091,-33.58333333333371,-28.09757834757857,-5.485754985755143
2016-10-21,1266.5,1268.8,1261.7,1267.7,0.20000000000004547,-31.723717948717876,-29.816809116809306,-1.90690883190857
2016-10-24,1266.9,1272.8,1260.1,1263.7,-4,-29.04358974358979,-30.746367521367674,1.7027777777778823
2016-10-25,1265.2,1277.5,1262.4,1273.6,9.899999999999864,-25.53525641025658,-30.87820512820526,5.34294871794868
2016-10-26,1274,1277.2,1265.1,1266.6,-7,-23.033974358974547,-30.449501424501527,7.41552706552698
2016-10-27,1267.2,1273.7,1265.2,1269.5,2.900000000000091,-19.519871794871733,-29.36680911680921,9.846937321937478
2016-10-28,1269.2,1285.4,1262,1276.8,7.2999999999999545,-14.99166666666656,-27.471296296296387,12.479629629629827
2016-10-31,1278.3,1280.5,1271.9,1273.1,-3.7000000000000455,-11.061538461538248,-24.905199430199495,13.843660968661247
2016-11-01,1277.8,1292.9,1276.3,1288,14.900000000000091,-6.195512820512704,-21.632051282051307,15.436538461538603
2016-11-02,1289,1309.3,1288.4,1308.2,20.200000000000045,-1.041666666666515,-18.016310541310506,16.97464387464399
2016-11-03,1298.1,1308,1286.2,1303.3,-4.900000000000091,3.109615384615381,-14.145940170940143,17.255555555555524
2016-11-04,1303.2,1308.3,1295.7,1304.5,1.2000000000000455,6.819871794871688,-10.16111111111109,16.980982905982778
2016-11-07,1294.5,1296.5,1278.6,1279.4,-25.09999999999991,9.261538461538748,-6.294800569800499,15.556339031339247
2016-11-08,1282.2,1291.5,1273.3,1274.5,-4.900000000000091,11.29743589743589,-2.4801994301993395,13.77763532763523
2016-11-09,1276.8,1338.3,1268.1,1273.5,-1,11.96794871794873,1.0184472934473787,10.949501424501351
2016-11-10,1278.4,1292.5,1251.9,1266.4,-7.099999999999909,11.452564102564338,3.956695156695256,7.495868945869082
2016-11-11,1258.7,1265,1218.7,1224.3,-42.100000000000136,9.031410256410254,6.18924501424509,2.842165242165164
2016-11-14,1227.7,1230.9,1211,1221.7,-2.599999999999909,6.20961538461529,7.567592592592645,-1.3579772079773544
2016-11-15,1221.8,1231.4,1218.6,1224.5,2.7999999999999545,3.2320512820510885,8.042450142450157,-4.810398860399069
2016-11-16,1228,1233.1,1221,1223.9,-0.599999999999909,0.3628205128204627,7.737250712250721,-7.374430199430258
2016-11-17,1224.8,1231.1,1210.5,1216.9,-7,-4.142948717949139,6.519159544159518,-10.662108262108656
2016-11-18,1216,1217.5,1201.3,1208.7,-8.200000000000045,-10.55384615384628,4.31745014245007,-14.87129629629635
2016-11-21,1207.3,1217.8,1205.4,1209.8,1.099999999999909,-16.587820512820826,1.2190883190882131,-17.80690883190904
2016-11-22,1213.5,1220.9,1205.6,1211.2,1.400000000000091,-22.616666666666788,-2.6236467236468446,-19.993019943019945
2016-11-23,1212.6,1214.7,1181.2,1189.3,-21.90000000000009,-27.294230769231035,-6.92884615384633,-20.365384615384706
2016-11-25,1189.4,1192.7,1170.3,1178.4,-10.899999999999864,-31.783333333333758,-11.463817663817887,-20.319515669515873
2016-11-28,1184.4,1197.2,1182.4,1190.8,12.399999999999864,-35.725000000000364,-16.123219373219627,-19.601780626780737
2016-11-29,1196.6,1197.7,1182.6,1190.8,0,-39.06730769230785,-20.823148148148398,-18.24415954415945
2016-11-30,1190.7,1196.8,1171.3,1173.9,-16.899999999999864,-39.81346153846198,-25.28717948717978,-14.526282051282198
2016-12-01,1175.1,1178.4,1162.2,1169.4,-4.5,-40.164102564102905,-29.2895299145302,-10.874572649572706
2016-12-02,1174.3,1180.3,1168.4,1177.8,8.399999999999864,-40.640384615384846,-32.63247863247893,-8.007905982905918
2016-12-05,1182.6,1190.2,1158.6,1176.5,-1.2999999999999545,-41.0134615384618,-35.346438746439034,-5.667022792022763
2016-12-06,1172.8,1177.1,1168.1,1170.1,-6.400000000000091,-40.80961538461543,-37.367877492877774,-3.4417378917376524
2016-12-07,1171.4,1182.3,1167.2,1177.5,7.400000000000091,-39.73269230769233,-38.74992877492903,-0.9827635327633004
2016-12-08,1176.1,1180.7,1170.9,1172.4,-5.099999999999909,-38.40320512820517,-39.4854700854703,1.0822649572651244
2016-12-09,1172.5,1173.8,1157.6,1161.9,-10.5,-36.88461538461547,-39.61431623931642,2.729700854700951
2016-12-12,1161.4,1167.9,1152.5,1165.8,3.8999999999998636,-33.55448717948752,-39.00178062678083,5.447293447293305
2016-12-13,1164.5,1167,1156.3,1159,-6.7999999999999545,-29.575000000000273,-37.864173789173975,8.289173789173702
2016-12-14,1159.8,1168,1140,1163.7,4.7000000000000455,-27.38333333333344,-36.44408831908848,9.06075498575504
2016-12-15,1143.8,1146,1124.3,1129.8,-33.90000000000009,-26.901282051282124,-34.91752136752151,8.016239316239385
2016-12-16,1130.5,1143.2,1128.5,1137.4,7.600000000000136,-24.708333333333712,-33.10584045584061,8.397507122506894
2016-12-19,1136.1,1144.4,1135.5,1142.7,5.2999999999999545,-22.175641025641198,-31.035398860399027,8.85975783475783
2016-12-20,1139.8,1141.7,1127.3,1133.6,-9.100000000000136,-22.370512820512886,-29.10626780626798,6.735754985755094
2016-12-21,1134,1138.8,1131,1133.2,-0.3999999999998636,-22.574999999999818,-27.347578347578494,4.772578347578676
2016-12-22,1133.2,1135.5,1128.6,1130.7,-2.5,-22.25064102564079,-25.721581196581308,3.470940170940519
2016-12-23,1130,1137.3,1129.5,1133.6,2.8999999999998636,-22.435897435897232,-24.486182336182384,2.0502849002851526
2016-12-27,1135.3,1151.7,1132.8,1138.8,5.2000000000000455,-22.23205128205109,-23.670299145299143,1.4382478632480549
2016-12-28,1139.3,1145.1,1137.1,1140.9,2.1000000000001364,-21.374358974358984,-23.002635327635314,1.6282763532763305
2016-12-29,1143.1,1160.6,1142.6,1158.1,17.199999999999818,-20.027564102564156,-22.238888888888873,2.2113247863247167
2016-12-30,1159.5,1164.3,1150.3,1151.7,-6.399999999999864,-18.347435897435844,-21.532122507122445,3.184686609686601
2017-01-03,1151.4,1166,1146.5,1162,10.299999999999955,-17.439102564102313,-21.005840455840346,3.5667378917380326
2017-01-04,1159.6,1168.6,1156.7,1165.3,3.2999999999999545,-13.97692307692273,-20.073219373219217,6.096296296296487
2017-01-05,1164.6,1185.9,1163.6,1181.3,16,-9.9532051282049,-18.67079772079756,8.71759259259266
2017-01-06,1181,1183.8,1171.1,1173.4,-7.899999999999864,-6.725641025640925,-16.945797720797575,10.22015669515665
2017-01-09,1172.9,1186.4,1172.2,1184.9,11.5,-2.8737179487179674,-14.772222222222101,11.898504273504134
2017-01-10,1181.3,1190.6,1180.2,1185.5,0.599999999999909,0.8653846153845279,-12.205840455840367,13.071225071224895
2017-01-11,1188.1,1198.5,1177,1196.6,11.099999999999909,5.633974358974001,-9.204914529914479,14.83888888888848
2017-01-12,1191.1,1207.2,1190.7,1199.8,3.2000000000000455,10.254487179487114,-5.840242165242115,16.09472934472923
2017-01-13,1194.8,1201.8,1187.5,1196.2,-3.599999999999909,14.03397435897432,-2.242307692307653,16.27628205128197
2017-01-17,1199.4,1218.9,1198,1212.9,16.700000000000045,18.672435897435662,1.7700854700854558,16.902350427350207
2017-01-18,1216.8,1217.7,1201.8,1212.1,-0.8000000000001819,21.64551282051275,5.728133903133842,15.917378917378908
2017-01-19,1203.1,1206.4,1195.4,1201.5,-10.599999999999909,24.272435897436026,9.530982905982833,14.741452991453192
2017-01-20,1204.8,1214.8,1198.2,1204.9,3.400000000000091,26.34358974358952,13.205341880341772,13.138247863247747
2017-01-23,1209.3,1219.4,1209,1215.6,10.699999999999818,28.35833333333335,16.675569800569697,11.682763532763651
2017-01-24,1218,1220.1,1206.2,1210.8,-4.7999999999999545,29.00512820512813,19.802207977207875,9.202920227920256
2017-01-25,1208.6,1209.3,1192.6,1197.8,-13,28.423076923076906,22.33433048433042,6.088746438746487
2017-01-26,1200.7,1202.3,1183.9,1189.8,-8,26.816025641025817,24.174501424501386,2.641524216524431
2017-01-27,1188.5,1191,1179.7,1188.4,-1.3999999999998636,25.299999999999955,25.426282051282012,-0.1262820512820575
2017-01-30,1194.6,1201.3,1190,1196,7.599999999999909,22.84999999999991,25.890455840455818,-3.040455840455909
2017-01-31,1197.7,1217.4,1195.6,1211.4,15.400000000000091,20.808974358974183,25.79750712250709,-4.9885327635329055
